"","X","Month","Hours.watched..mins.","Average.viewers","Peak.viewers","Average.channels","Hours.streamed..mins.","Year"
"1",1,"Apr-21",1.34281e+11,3112681,6291115,115812,4996162380,2021
"2",2,"May-21",1.38498e+11,3106723,5835026,110484,4925397840,2021
"3",3,"Feb-22",1.19009e+11,2956001,5455266,103548,4168873980,2021
"4",4,"Feb-21",1.18775e+11,2950196,5274617,122763,4942468860,2021
"5",5,"Mar-21",1.30899e+11,2936277,5270336,117123,5221385160,2021
"6",6,"Jan-21",1.30428e+11,2925698,6516666,119448,5324994120,2021
"7",7,"Jan-22",1.29747e+11,2910426,5674002,102254,4558511940,2021
"8",8,"Jun-21",1.17818e+11,2731057,5775498,101892,4395651720,2021
"9",9,"Oct-21",1.21212e+11,2718974,6170643,91858,4095032760,2021
"10",10,"Aug-21",1.18475e+11,2657585,4778502,100701,4489258920,2021
"11",11,"Jul-21",1.17234e+11,2629745,4415373,101755,4536243660,2021
"12",12,"Mar-22",1.16073e+11,2603701,4815581,97461,4344850800,2022
"13",13,"Apr-22",1.12188e+11,2600548,5033040,94164,4062253740,2022
"14",14,"Sep-21",1.11451e+11,2583469,5630216,95513,4120457520,2022
"15",15,"Jul-22",1.13838e+11,2553561,4500502,94546,4214904240,2022
"16",16,"Jun-22",1.1009e+11,2551932,6707070,90773,3915966660,2022
"17",17,"May-22",1.13645e+11,2549226,5235525,88227,3933191820,2022
"18",18,"Dec-20",1.12639e+11,2526674,4860624,107006,4770330540,2020
"19",19,"Nov-21",1.08727e+11,2520330,5969595,90774,3915996360,2020
"20",20,"Dec-21",1.12344e+11,2520054,5014457,90731,4044808680,2020
"21",21,"Apr-20",1.07539e+11,2492780,4455065,93867,4049443920,2020
"22",22,"Nov-20",1.07354e+11,2488505,4380326,103929,4483535280,2020
"23",23,"Oct-20",1.06449e+11,2387813,4208725,95170,4242691740,2020
"24",24,"May-20",1.05346e+11,2363069,4043730,100486,4479707340,2020
"25",25,"Jun-20",97756975620,2266040,6060464,94052,4057423200,2020
"26",26,"Sep-20",95130670860,2205161,4816995,91978,3967939800,2020
"27",27,"Aug-20",97240940700,2181268,3861619,96421,4298487660,2020
"28",28,"Jul-20",94355748900,2116548,3965956,95781,4269921900,2020
"29",29,"Mar-20",73102205160,1639798,3402641,66090,2946308340,2020
"30",30,"Feb-20",58905128940,1412593,2630587,53882,2246905740,2020
"31",31,"Jan-20",60600613860,1359367,2400513,52875,2357211840,2020
"32",32,"Aug-19",59950643880,1344787,2563475,48508,2162494680,2019
"33",33,"Feb-19",52890411060,1313721,2624711,56375,2269667280,2019
"34",34,"Jun-19",56347603200,1306156,3496976,47953,2068700100,2019
"35",35,"Jan-19",56943028440,1277322,2278352,55853,2489969580,2019
"36",36,"Mar-19",56864014800,1275549,2630058,55019,2452776240,2019
"37",37,"May-19",56371216320,1264495,2607531,48357,2155778460,2019
"38",38,"Apr-19",53299571940,1235502,2368981,51328,2214296340,2019
"39",39,"Jul-19",55001548680,1233771,2933491,48111,2144822880,2019
"40",40,"Nov-19",52749455400,1222750,2906707,45655,1969557540,2019
"41",41,"Sep-19",52684999860,1221256,2817054,46242,1994881860,2019
"42",42,"Oct-19",54020052600,1211755,2993052,45185,2014388400,2019
"43",43,"Nov-18",51937841580,1203936,2515155,45464,1961335200,2019
"44",44,"Dec-19",52889860200,1186403,2692333,45688,2036781420,2019
"45",45,"Aug-18",51351638460,1151898,3929074,44383,1978602780,2018
"46",46,"Oct-18",51163485660,1147678,2093870,43558,1941844860,2018
"47",47,"Dec-18",50758191720,1138586,2021262,48190,2148340140,2018
"48",48,"Sep-18",48903660780,1133603,2431863,44246,1908812400,2018
"49",49,"Jun-18",47343901740,1097447,2847241,39761,1715299020,2018
"50",50,"Jul-18",47774579940,1071659,1974783,41629,1855839240,2018
"51",51,"May-18",45730642680,1025810,1714327,38746,1727301360,2018
"52",52,"Apr-18",43759568100,1014361,2009005,39491,1703669100,2018
"53",53,"Mar-18",43280496780,970850,2399946,38981,1737795420,2018
"54",54,"Jan-18",43213201800,969340,2315343,33580,1497038760,2018
"55",55,"Feb-18",36942626460,917601,1735587,35548,1431165900,2018
"56",56,"Jan-17",36075072000,809220,2284184,24081,1073553420,2017
"57",57,"Nov-17",34533090180,800488,1532756,26768,1154798220,2017
"58",58,"Oct-17",35110652040,787587,1835725,25723,1146762420,2017
"59",59,"Dec-17",34388250420,771382,1496306,28181,1256321760,2017
"60",60,"Jul-17",34013953800,762986,1802287,25810,1150616220,2017
"61",61,"Feb-17",30055938480,746545,1524883,24219,975077940,2017
"62",62,"Apr-17",32125878060,744688,1823848,22078,952487100,2017
"63",63,"Sep-17",31655479080,733784,1519456,25038,1080160800,2017
"64",64,"Aug-17",32007021960,717968,1824303,24711,1101643800,2017
"65",65,"Jun-17",30649939800,710476,1935516,23412,1010032080,2017
"66",66,"Mar-17",30983998620,695020,1500730,23094,1029558480,2017
"67",67,"May-17",30415651320,682271,1514023,22362,996909120,2017
"68",68,"Mar-16",29440158480,660389,1591551,20271,903725040,2016
"69",69,"Dec-16",29429071380,660140,1385864,22291,993774720,2016
"70",70,"Jan-16",28814514240,646355,1275257,20076,895013760,2016
"71",71,"Feb-16",26511593820,635769,1308032,20427,851812440,2016
"72",72,"Nov-16",26981305680,625435,1410023,20715,893646480,2016
"73",73,"Jun-16",26785760700,620903,1755888,18818,811816740,2016
"74",74,"Oct-16",27182100060,609737,1549150,19250,858202320,2016
"75",75,"May-16",26990197860,605432,1438962,19394,864607020,2016
"76",76,"Jul-16",26779909500,600715,1453743,18030,803789160,2016
"77",77,"Apr-16",22678526820,525696,1775120,16791,724370340,2016
"78",78,"Aug-16",22927042380,514289,1334490,16592,739696440,2016
"79",79,"Sep-16",21769992600,504635,1186009,16880,728235960,2016
